ID,书名,Title (English),作者,Author (English),作者去世年份,国家,出版年份,类型,版权状态,是否公版,备注
,Le Petit Prince,The Little Prince,Antoine de Saint-Exupéry,,,法国,1943,"N, o, v, e, l, l, a",❓ 需核实,未知,缺少作者去世年份
,Война и мир,War and Peace,Leo Tolstoy,,,俄国,1869,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Преступление и наказание,Crime and Punishment,Fyodor Dostoevsky,,,俄国,1866,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Мастер и Маргарита,The Master and Margarita,Mikhail Bulgakov,,,俄国,1967,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,Faust,Faust,Johann Wolfgang von Goethe,,,德国,1832,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Die Verwandlung,The Metamorphosis,Franz Kafka,,,德国,1915,"N, o, v, e, l, l, a",✅ 公版书,是,出版于1926年前
,La Divina Commedia,The Divine Comedy,Dante Alighieri,,,意大利,1320,"E, p, i, c,  , P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Don Quijote de la Mancha,Don Quixote,Miguel de Cervantes,,,西班牙,1615,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Moby-Dick,Moby-Dick,Herman Melville,,,美国,1851,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,,,美国,1925,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,To Kill a Mockingbird,To Kill a Mockingbird,Harper Lee,,,美国,1960,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,Cien años de soledad,One Hundred Years of Solitude,Gabriel García Márquez,,,哥伦比亚,1967,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,Ficciones,Ficciones,Jorge Luis Borges,,,阿根廷,1944,"S, h, o, r, t,  , S, t, o, r, i, e, s",❓ 需核实,未知,缺少作者去世年份
,شاهنامه,Shahnameh,Ferdowsi,,,伊朗,1010,"E, p, i, c",✅ 公版书,是,出版于1926年前
,ألف ليلة وليلة,One Thousand and One Nights,Various,,,伊拉克,850,"F, o, l, k,  , T, a, l, e, s",✅ 公版书,是,出版于1926年前
,Things Fall Apart,Things Fall Apart,Chinua Achebe,,,尼日利亚,1958,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,"Cry, the Beloved Country","Cry, the Beloved Country",Alan Paton,,,南非,1948,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,Voss,Voss,Patrick White,,,澳大利亚,1957,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,The Bone People,The Bone People,Keri Hulme,,,新西兰,1984,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,Ιλιάς,Iliad,Homer,,,希腊,-750,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Οδύσσεια,Odyssey,Homer,,,希腊,-750,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 1,Classic Work 1,Author 1,,,中国,1700,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 2,Classic Work 2,Author 2,,,日本,1701,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 3,Classic Work 3,Author 3,,,印度,1702,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 4,Classic Work 4,Author 4,,,韩国,1703,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 5,Classic Work 5,Author 5,,,英国,1704,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 6,Classic Work 6,Author 6,,,法国,1705,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 7,Classic Work 7,Author 7,,,俄国,1706,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 8,Classic Work 8,Author 8,,,德国,1707,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 9,Classic Work 9,Author 9,,,意大利,1708,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 10,Classic Work 10,Author 10,,,西班牙,1709,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 11,Classic Work 11,Author 11,,,美国,1710,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 12,Classic Work 12,Author 12,,,伊朗,1711,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 13,Classic Work 13,Author 13,,,埃及,1712,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 14,Classic Work 14,Author 14,,,土耳其,1713,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 15,Classic Work 15,Author 15,,,尼日利亚,1714,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 16,Classic Work 16,Author 16,,,南非,1715,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 17,Classic Work 17,Author 17,,,澳大利亚,1716,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 18,Classic Work 18,Author 18,,,新西兰,1717,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 19,Classic Work 19,Author 19,,,中国,1718,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 20,Classic Work 20,Author 20,,,日本,1719,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 21,Classic Work 21,Author 21,,,印度,1720,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 22,Classic Work 22,Author 22,,,韩国,1721,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 23,Classic Work 23,Author 23,,,英国,1722,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 24,Classic Work 24,Author 24,,,法国,1723,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 25,Classic Work 25,Author 25,,,俄国,1724,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 26,Classic Work 26,Author 26,,,德国,1725,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 27,Classic Work 27,Author 27,,,意大利,1726,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 28,Classic Work 28,Author 28,,,西班牙,1727,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 29,Classic Work 29,Author 29,,,美国,1728,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 30,Classic Work 30,Author 30,,,伊朗,1729,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 31,Classic Work 31,Author 31,,,埃及,1730,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 32,Classic Work 32,Author 32,,,土耳其,1731,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 33,Classic Work 33,Author 33,,,尼日利亚,1732,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 34,Classic Work 34,Author 34,,,南非,1733,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 35,Classic Work 35,Author 35,,,澳大利亚,1734,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 36,Classic Work 36,Author 36,,,新西兰,1735,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 37,Classic Work 37,Author 37,,,中国,1736,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 38,Classic Work 38,Author 38,,,日本,1737,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 39,Classic Work 39,Author 39,,,印度,1738,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 40,Classic Work 40,Author 40,,,韩国,1739,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 41,Classic Work 41,Author 41,,,英国,1740,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 42,Classic Work 42,Author 42,,,法国,1741,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 43,Classic Work 43,Author 43,,,俄国,1742,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 44,Classic Work 44,Author 44,,,德国,1743,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 45,Classic Work 45,Author 45,,,意大利,1744,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 46,Classic Work 46,Author 46,,,西班牙,1745,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 47,Classic Work 47,Author 47,,,美国,1746,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 48,Classic Work 48,Author 48,,,伊朗,1747,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 49,Classic Work 49,Author 49,,,埃及,1748,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 50,Classic Work 50,Author 50,,,土耳其,1749,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 51,Classic Work 51,Author 51,,,尼日利亚,1750,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 52,Classic Work 52,Author 52,,,南非,1751,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 53,Classic Work 53,Author 53,,,澳大利亚,1752,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 54,Classic Work 54,Author 54,,,新西兰,1753,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 55,Classic Work 55,Author 55,,,中国,1754,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 56,Classic Work 56,Author 56,,,日本,1755,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 57,Classic Work 57,Author 57,,,印度,1756,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 58,Classic Work 58,Author 58,,,韩国,1757,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 59,Classic Work 59,Author 59,,,英国,1758,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 60,Classic Work 60,Author 60,,,法国,1759,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 61,Classic Work 61,Author 61,,,俄国,1760,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 62,Classic Work 62,Author 62,,,德国,1761,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 63,Classic Work 63,Author 63,,,意大利,1762,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 64,Classic Work 64,Author 64,,,西班牙,1763,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 65,Classic Work 65,Author 65,,,美国,1764,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 66,Classic Work 66,Author 66,,,伊朗,1765,"D, r, a, m, a",✅ 公版书,是,出版于1926年前
,Classic Work 67,Classic Work 67,Author 67,,,埃及,1766,"S, h, o, r, t,  , S, t, o, r, i, e, s",✅ 公版书,是,出版于1926年前
,Classic Work 68,Classic Work 68,Author 68,,,土耳其,1767,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Classic Work 69,Classic Work 69,Author 69,,,尼日利亚,1768,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,Classic Work 70,Classic Work 70,Author 70,,,南非,1769,"P, h, i, l, o, s, o, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 71,Classic Work 71,Author 71,,,澳大利亚,1770,"H, i, s, t, o, r, y",✅ 公版书,是,出版于1926年前
,Classic Work 72,Classic Work 72,Author 72,,,新西兰,1771,"A, u, t, o, b, i, o, g, r, a, p, h, y",✅ 公版书,是,出版于1926年前
,Classic Work 73,Classic Work 73,Author 73,,,中国,1772,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Classic Work 74,Classic Work 74,Author 74,,,日本,1773,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
